scorer,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.30,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.31,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.32,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.33,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.34,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.35,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.36,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.37,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.38,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.39,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.40,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.41,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.42,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.43,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.44,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.45,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.46,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.47,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.48,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.49,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.50,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.51,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.52,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.53,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.54,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.55,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.56,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.57,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.58,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.59
bodyparts,center,center,center,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,leftarm,leftarm,leftarm,rightarm,rightarm,rightarm,leftleg,leftleg,leftleg,rightleg,rightleg,rightleg,tail base,tail base,tail base,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,797.037,357.781,1.0,904.704,331.14,1.0,840.812,322.281,1.0,866.575,369.216,1.0,,,0.0,843.688,422.149,1.0,,,0.0,775.821,441.383,1.0,685.305,396.685,1.0,,,0.0
19,797.179,357.765,1.0,904.626,331.316,1.0,840.701,322.311,1.0,866.796,369.572,1.0,,,0.0,843.699,421.872,1.0,,,0.0,775.84,441.01,1.0,685.407,396.866,1.0,,,0.0
20,796.784,360.513,1.0,903.174,339.275,1.0,840.507,328.507,1.0,856.049,370.714,1.0,,,0.0,843.672,422.469,1.0,,,0.0,776.416,445.758,1.0,685.073,402.58,1.0,,,0.0
21,789.409,359.438,1.0,902.444,360.662,1.0,837.509,329.257,1.0,843.974,370.843,1.0,,,0.0,837.896,426.558,1.0,,,0.0,775.752,443.037,1.0,686.392,401.279,1.0,,,0.0
22,780.537,358.394,0.9990000128746033,903.382,402.895,1.0,835.476,338.138,1.0,837.614,397.865,1.0,,,0.0,,,0.0,,,0.0,775.364,442.725,1.0,688.122,397.74,1.0,,,0.0
23,779.791,358.668,0.9980000257492065,903.836,402.568,1.0,835.733,338.165,1.0,837.563,397.703,1.0,,,0.0,,,0.0,,,0.0,774.98,443.06,1.0,688.21,397.652,1.0,,,0.0
24,786.031,360.413,1.0,901.907,429.338,1.0,845.608,355.9,1.0,834.275,414.075,1.0,,,0.0,,,0.0,,,0.0,765.03,446.248,1.0,690.58,394.041,1.0,,,0.0
25,788.69,364.959,0.8640000224113464,899.465,470.243,1.0,856.588,387.365,0.9990000128746033,832.12,433.794,1.0,,,0.0,,,0.0,,,0.0,760.587,448.909,1.0,698.84,388.389,1.0,,,0.0
26,788.252,364.65,0.9150000214576721,899.825,469.844,1.0,856.339,387.804,0.9980000257492065,832.241,434.095,1.0,,,0.0,,,0.0,,,0.0,760.815,449.002,1.0,698.969,388.589,1.0,,,0.0
27,821.85,379.722,1.0,908.9,506.642,1.0,,,0.0,844.529,451.26,0.953000009059906,,,0.0,828.025,475.041,0.10700000077486038,,,0.0,766.892,456.453,1.0,,,0.0,,,0.0
28,829.267,409.2,0.9990000128746033,916.372,539.986,1.0,884.445,450.617,0.9900000095367432,846.809,480.051,1.0,891.908,404.893,0.9850000143051147,,,0.0,,,0.0,780.672,451.704,0.9909999966621399,756.726,363.1,0.38600000739097595,,,0.0
29,827.791,406.85,1.0,915.944,539.73,1.0,884.726,450.943,0.972000002861023,846.374,480.111,1.0,891.884,410.897,0.9760000109672546,,,0.0,,,0.0,780.453,451.49,0.9980000257492065,756.816,363.111,0.36399999260902405,,,0.0
30,852.956,425.915,1.0,916.897,557.534,1.0,902.99,472.899,1.0,854.481,506.894,1.0,915.05,436.078,0.25200000405311584,,,0.0,889.894,388.342,0.9779999852180481,778.803,443.499,0.9829999804496765,774.542,355.32,1.0,,,0.0
31,859.285,429.352,1.0,916.132,557.211,1.0,909.289,477.854,1.0,855.688,506.794,1.0,924.242,443.454,0.9399999976158142,,,0.0,898.296,379.749,1.0,777.922,433.946,1.0,786.528,350.429,1.0,,,0.0
32,859.274,429.293,1.0,916.062,557.474,1.0,908.499,478.428,1.0,855.889,506.478,1.0,924.153,443.361,0.9670000076293945,828.907,484.168,0.12099999934434891,898.582,379.582,1.0,784.931,435.149,1.0,786.4,350.474,1.0,,,0.0
33,865.124,423.889,1.0,921.657,556.559,1.0,906.964,478.231,1.0,855.704,506.508,1.0,923.933,443.184,0.968999981880188,828.873,483.838,0.7279999852180481,892.094,379.835,0.9990000128746033,785.397,432.696,1.0,787.595,346.38,1.0,,,0.0
34,859.303,429.979,1.0,926.375,553.703,1.0,909.735,476.688,1.0,855.464,510.913,1.0,924.052,443.171,0.9380000233650208,828.892,484.206,0.7699999809265137,898.761,378.259,1.0,786.369,433.515,1.0,786.405,348.263,1.0,,,0.0
35,859.94,429.703,1.0,926.426,553.482,1.0,909.469,476.479,1.0,856.065,510.215,1.0,924.129,443.22,0.921999990940094,828.755,484.303,0.8840000033378601,898.596,378.139,1.0,786.106,433.233,1.0,786.372,348.086,1.0,,,0.0
36,860.996,428.179,1.0,933.24,546.919,1.0,908.448,475.99,1.0,858.291,509.087,1.0,924.237,436.629,0.8809999823570251,829.362,482.983,1.0,891.259,378.794,0.9990000128746033,778.105,434.029,0.9990000128746033,785.246,350.25,1.0,,,0.0
37,862.086,426.896,1.0,939.822,546.176,1.0,907.481,474.9,1.0,867.382,510.969,1.0,924.1,436.011,0.28700000047683716,828.076,485.848,0.9980000257492065,892.093,375.23,1.0,785.891,432.803,0.9990000128746033,785.253,350.596,1.0,,,0.0
38,862.178,426.698,1.0,939.994,546.264,1.0,907.514,474.904,1.0,866.946,511.295,1.0,924.079,435.98,0.2540000081062317,828.149,485.786,0.9980000257492065,892.026,375.31,1.0,785.933,433.136,0.9959999918937683,784.989,350.424,1.0,,,0.0
39,863.421,429.588,1.0,940.321,547.768,1.0,908.434,475.273,1.0,869.876,508.419,1.0,924.213,435.664,0.421999990940094,829.601,486.218,1.0,891.617,374.406,0.9990000128746033,786.658,427.75,1.0,786.169,348.878,1.0,,,0.0
40,861.451,425.711,1.0,942.156,549.906,1.0,907.813,472.935,1.0,868.121,509.395,1.0,915.658,435.908,0.2529999911785126,829.871,485.013,1.0,891.774,379.179,0.9990000128746033,786.339,428.001,0.9990000128746033,787.49,349.245,1.0,,,0.0
41,861.196,424.636,1.0,942.477,549.893,1.0,907.896,473.0,1.0,867.99,508.937,1.0,923.995,436.272,0.34200000762939453,829.765,484.875,1.0,891.676,379.074,0.9990000128746033,786.163,431.797,0.9990000128746033,787.816,349.261,1.0,,,0.0
42,860.444,427.655,1.0,943.203,549.16,1.0,907.611,468.951,1.0,867.643,510.427,1.0,924.027,436.229,0.4090000092983246,829.737,485.299,1.0,900.131,378.193,1.0,786.238,428.912,0.9919999837875366,786.232,348.702,1.0,,,0.0
43,861.0,427.126,1.0,942.956,549.406,1.0,907.544,469.078,1.0,867.899,510.2,1.0,924.032,436.124,0.41200000047683716,829.72,485.332,1.0,900.233,378.168,1.0,786.295,428.985,0.9900000095367432,786.193,348.754,1.0,,,0.0
44,861.822,425.21,1.0,942.329,548.827,1.0,907.005,469.583,1.0,868.604,509.586,1.0,923.99,435.992,0.28200000524520874,829.866,484.802,1.0,899.554,377.817,1.0,785.294,428.336,0.9980000257492065,787.187,348.282,1.0,,,0.0
45,860.618,426.29,1.0,940.121,548.807,1.0,905.636,469.996,1.0,868.729,509.527,1.0,915.239,435.819,0.23899999260902405,829.712,485.052,1.0,891.742,375.034,1.0,785.925,428.744,0.9639999866485596,786.782,349.362,1.0,,,0.0
46,864.467,423.869,1.0,914.193,551.919,1.0,910.736,469.108,1.0,856.492,499.568,1.0,924.324,436.252,0.859000027179718,,,0.0,900.103,377.284,1.0,786.025,433.552,0.9829999804496765,787.674,350.736,1.0,,,0.0
47,864.545,423.484,1.0,914.384,551.955,1.0,910.72,469.362,1.0,856.063,499.75,1.0,924.375,435.748,0.6729999780654907,,,0.0,900.077,377.241,0.9990000128746033,785.94,433.796,0.9480000138282776,787.695,350.796,1.0,,,0.0
48,870.889,425.661,1.0,900.629,558.067,1.0,914.356,478.521,1.0,855.012,495.909,1.0,930.848,443.45,0.9660000205039978,,,0.0,,,0.0,791.027,429.034,0.9990000128746033,797.875,351.061,1.0,,,0.0
49,881.273,427.83,1.0,884.606,582.242,1.0,914.08,491.817,1.0,858.06,503.064,1.0,940.62,469.347,0.9990000128746033,,,0.0,906.856,377.919,0.6690000295639038,,,0.0,810.061,346.839,1.0,,,0.0
50,881.087,427.365,1.0,889.721,581.546,1.0,913.919,491.684,1.0,857.81,502.64,1.0,940.633,469.158,0.9990000128746033,,,0.0,907.121,378.345,0.4309999942779541,,,0.0,810.237,346.875,1.0,,,0.0
51,881.311,439.774,1.0,878.887,597.543,1.0,910.963,517.095,1.0,859.146,514.31,1.0,940.96,486.43,1.0,,,0.0,917.607,379.01,1.0,811.758,434.998,0.9990000128746033,821.578,340.615,1.0,,,0.0
52,874.783,442.888,1.0,866.693,600.76,1.0,909.287,526.03,1.0,856.194,521.854,1.0,931.157,491.724,1.0,,,0.0,917.539,387.36,1.0,812.054,433.89,1.0,827.815,340.02,1.0,,,0.0
53,874.771,442.852,1.0,866.673,600.697,1.0,908.508,524.948,1.0,855.935,521.486,1.0,931.185,491.763,1.0,,,0.0,917.724,388.033,1.0,812.306,433.776,1.0,827.879,340.12,1.0,,,0.0
