scorer,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.30,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.31,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.32,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.33,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.34,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.35,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.36,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.37,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.38,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.39,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.40,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.41,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.42,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.43,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.44,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.45,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.46,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.47,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.48,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.49,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.50,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.51,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.52,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.53,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.54,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.55,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.56,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.57,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.58,DLC_dlcrnetms5_First ExperimentJun28shuffle1_200000.59
bodyparts,center,center,center,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,leftarm,leftarm,leftarm,rightarm,rightarm,rightarm,leftleg,leftleg,leftleg,rightleg,rightleg,rightleg,tail base,tail base,tail base,tailtip,tailtip,tailtip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
1227,820.127,389.578,0.9449999928474426,889.415,491.46,1.0,885.884,405.422,1.0,844.857,445.923,1.0,,,0.0,,,0.0,,,0.0,796.272,475.657,0.9990000128746033,725.909,398.726,1.0,,,0.0
1228,822.981,391.499,1.0,876.652,490.774,1.0,876.724,419.696,1.0,837.473,448.721,1.0,882.71,378.84,0.9559999704360962,,,0.0,,,0.0,792.384,477.081,0.9869999885559082,723.086,396.13,1.0,,,0.0
1229,822.882,391.074,1.0,876.335,490.884,1.0,876.694,419.737,1.0,837.351,449.24,1.0,882.677,378.898,0.9319999814033508,,,0.0,,,0.0,792.12,477.254,0.9750000238418579,722.697,396.489,1.0,,,0.0
1230,821.51,390.567,1.0,873.815,492.263,1.0,873.061,419.17,1.0,835.292,448.564,1.0,,,0.0,,,0.0,,,0.0,,,0.0,723.448,395.294,1.0,,,0.0
1231,821.264,390.864,1.0,873.407,489.89,1.0,873.658,413.05,1.0,827.071,448.98,1.0,,,0.0,,,0.0,,,0.0,787.64,466.375,0.5709999799728394,724.424,393.924,1.0,,,0.0
1232,827.284,391.163,1.0,877.194,509.979,1.0,873.665,422.722,1.0,835.359,447.694,1.0,881.719,387.673,0.984000027179718,,,0.0,,,0.0,789.44,465.598,0.9779999852180481,723.592,393.595,1.0,,,0.0
1233,827.069,391.206,1.0,877.331,510.15,1.0,873.524,422.659,1.0,835.36,447.731,1.0,881.84,387.621,0.9779999852180481,,,0.0,,,0.0,789.264,465.641,0.972000002861023,723.5,393.496,1.0,,,0.0
1234,840.93,402.812,1.0,880.688,524.194,1.0,883.633,440.254,1.0,842.679,463.751,1.0,,,0.0,,,0.0,,,0.0,791.832,463.998,0.9990000128746033,728.549,387.041,1.0,,,0.0
1235,840.945,402.605,1.0,880.483,524.358,1.0,884.391,439.931,1.0,842.59,463.74,1.0,899.045,411.409,0.8230000138282776,,,0.0,,,0.0,792.097,463.973,0.9990000128746033,727.309,386.479,1.0,,,0.0
1236,845.246,409.423,1.0,880.181,550.627,1.0,882.787,460.826,1.0,845.672,479.594,0.9990000128746033,907.703,443.261,0.9890000224113464,,,0.0,,,0.0,789.704,469.938,1.0,740.32,378.825,0.703000009059906,,,0.0
1237,853.819,424.617,1.0,879.452,574.286,1.0,892.339,489.816,1.0,844.01,507.074,1.0,907.963,459.132,0.9909999966621399,,,0.0,,,0.0,789.817,478.727,0.9990000128746033,763.06,371.347,0.9150000214576721,,,0.0
1238,853.627,424.572,1.0,879.378,574.253,1.0,892.667,489.863,1.0,843.727,507.13,1.0,907.953,459.14,0.9909999966621399,,,0.0,,,0.0,790.89,479.185,1.0,762.927,371.257,0.8949999809265137,,,0.0
1239,853.876,443.624,1.0,875.83,594.723,1.0,898.456,512.242,1.0,837.231,524.867,1.0,912.337,475.096,1.0,,,0.0,,,0.0,786.101,477.202,1.0,790.081,371.804,0.8859999775886536,,,0.0
1240,859.671,447.81,1.0,877.16,580.687,1.0,,,0.0,836.344,521.105,1.0,924.397,486.011,0.9990000128746033,811.685,491.141,0.1080000028014183,900.013,408.442,1.0,787.039,468.953,1.0,811.465,365.156,0.8140000104904175,,,0.0
1241,860.944,446.118,1.0,877.611,580.576,1.0,,,0.0,836.706,521.148,1.0,924.442,485.868,0.9990000128746033,,,0.0,900.128,408.301,1.0,786.425,468.547,1.0,811.278,364.409,0.9440000057220459,,,0.0
1242,860.203,440.711,1.0,875.577,567.859,1.0,897.41,501.131,1.0,839.966,507.768,1.0,924.296,475.419,0.9980000257492065,,,0.0,,,0.0,786.94,460.134,0.9990000128746033,813.555,355.902,1.0,,,0.0
1243,866.716,437.119,1.0,867.6,556.28,1.0,,,0.0,841.137,501.926,1.0,924.008,475.333,0.9940000176429749,,,0.0,907.828,394.824,0.9419999718666077,788.141,459.834,0.996999979019165,818.184,352.296,1.0,,,0.0
1244,870.848,428.065,1.0,862.345,552.862,1.0,,,0.0,838.405,495.598,1.0,924.615,470.178,1.0,,,0.0,,,0.0,784.418,449.797,0.9900000095367432,819.402,352.071,1.0,,,0.0
1245,870.857,427.966,1.0,862.705,553.052,1.0,,,0.0,838.466,495.676,1.0,924.64,470.132,1.0,,,0.0,,,0.0,784.405,449.741,0.9890000224113464,819.175,351.731,1.0,,,0.0
1246,869.689,426.727,1.0,860.575,550.1,1.0,,,0.0,830.32,492.862,1.0,916.264,469.253,1.0,,,0.0,907.316,387.617,0.5680000185966492,783.384,450.522,0.9760000109672546,818.077,353.032,1.0,,,0.0
1247,870.466,427.049,1.0,860.744,550.397,1.0,,,0.0,830.245,492.95,1.0,916.136,469.18,1.0,,,0.0,907.395,387.737,0.4560000002384186,783.546,450.3,0.9829999804496765,818.876,353.792,1.0,,,0.0
1248,870.37,426.573,1.0,857.585,549.707,1.0,885.996,493.997,1.0,821.05,492.348,1.0,915.728,475.735,1.0,,,0.0,906.955,388.359,0.7459999918937683,,,0.0,816.874,353.554,1.0,,,0.0
1249,868.997,427.628,1.0,857.102,550.841,1.0,885.324,494.449,1.0,810.743,491.157,1.0,915.609,475.764,1.0,,,0.0,899.985,388.206,0.3659999966621399,,,0.0,816.162,354.105,1.0,,,0.0
1250,868.949,427.57,1.0,856.963,550.88,1.0,885.275,494.528,1.0,810.793,491.141,1.0,915.655,475.779,1.0,,,0.0,899.999,388.142,0.3790000081062317,,,0.0,816.166,353.803,1.0,,,0.0
1251,864.526,428.182,1.0,844.381,549.654,1.0,878.138,500.01,1.0,803.764,484.377,1.0,912.954,483.024,1.0,,,0.0,907.184,388.384,0.6859999895095825,,,0.0,819.402,353.989,1.0,,,0.0
1252,858.026,437.448,1.0,830.593,539.007,1.0,871.393,501.535,1.0,822.641,487.987,1.0,909.005,484.448,1.0,,,0.0,905.89,388.684,0.9700000286102295,783.196,449.492,0.5899999737739563,819.499,354.714,1.0,,,0.0
1253,857.826,437.171,1.0,830.742,538.883,1.0,871.397,501.466,1.0,822.227,487.813,1.0,909.046,484.31,1.0,,,0.0,905.668,389.062,0.9900000095367432,783.246,449.594,0.6050000190734863,819.238,354.893,1.0,,,0.0
1254,857.293,429.067,1.0,819.32,539.655,1.0,859.468,507.701,1.0,812.231,484.172,1.0,908.92,483.791,1.0,787.968,451.902,0.6840000152587891,906.418,394.538,0.9990000128746033,782.443,450.116,0.7200000286102295,818.801,352.734,1.0,,,0.0
1255,853.007,433.883,1.0,815.841,545.648,1.0,858.814,508.089,1.0,808.17,484.025,1.0,899.846,484.4,1.0,786.394,443.096,0.20900000631809235,907.001,395.835,1.0,779.246,434.427,0.9990000128746033,821.811,351.398,1.0,,,0.0
1256,842.725,429.827,1.0,814.725,549.11,1.0,847.092,501.265,1.0,795.969,485.696,1.0,892.91,484.922,1.0,,,0.0,901.162,406.192,1.0,,,0.0,823.617,355.32,1.0,,,0.0
1257,842.596,429.435,1.0,814.77,549.171,1.0,850.182,501.47,1.0,796.041,485.637,1.0,892.971,485.187,1.0,,,0.0,901.154,406.037,1.0,,,0.0,823.709,355.488,1.0,,,0.0
1258,839.381,427.161,1.0,814.403,550.019,1.0,852.13,500.49,1.0,794.476,484.544,1.0,893.214,484.498,1.0,,,0.0,900.677,409.563,1.0,772.462,428.194,0.996999979019165,822.489,348.914,1.0,,,0.0
1259,839.111,427.156,1.0,814.467,549.987,1.0,,,0.0,794.514,484.419,1.0,893.241,484.373,1.0,,,0.0,901.483,410.283,1.0,772.203,428.323,0.9919999837875366,822.323,349.183,1.0,,,0.0
1260,839.05,425.873,1.0,805.052,540.714,1.0,849.829,495.483,1.0,791.683,478.708,1.0,892.358,485.554,1.0,,,0.0,905.412,411.001,1.0,,,0.0,825.782,348.898,0.9990000128746033,,,0.0
1261,841.586,423.006,1.0,784.383,535.076,1.0,841.362,490.401,1.0,791.647,460.66,1.0,892.086,485.651,1.0,,,0.0,906.284,412.022,1.0,,,0.0,830.999,347.482,1.0,,,0.0
1262,841.733,422.837,1.0,784.115,534.903,1.0,841.491,490.41,1.0,791.972,460.516,1.0,892.018,485.723,1.0,,,0.0,906.532,412.326,1.0,,,0.0,835.054,347.966,1.0,,,0.0
1263,826.192,421.187,1.0,767.793,519.722,1.0,824.509,479.224,1.0,779.963,444.592,1.0,866.452,491.929,0.9990000128746033,,,0.0,905.776,423.021,1.0,,,0.0,837.24,346.649,1.0,,,0.0
1264,821.995,410.743,1.0,763.378,509.834,1.0,809.789,480.658,1.0,770.553,441.69,1.0,844.273,501.169,0.9929999709129333,,,0.0,903.096,427.411,0.9990000128746033,,,0.0,837.355,347.09,1.0,,,0.0
1265,822.286,411.068,1.0,763.177,509.364,1.0,809.016,480.821,1.0,771.372,442.32,1.0,844.338,501.088,0.9940000176429749,,,0.0,902.782,427.355,0.9990000128746033,,,0.0,838.048,347.151,0.9990000128746033,,,0.0
1266,818.828,423.034,1.0,764.357,516.895,1.0,809.922,483.091,1.0,766.705,448.89,1.0,844.646,501.861,1.0,,,0.0,905.022,427.193,1.0,,,0.0,841.756,347.153,1.0,,,0.0
1267,817.066,424.42,1.0,757.144,514.386,1.0,806.644,492.244,1.0,764.616,451.97,1.0,,,0.0,,,0.0,904.189,427.313,1.0,,,0.0,844.803,349.451,1.0,,,0.0
1268,818.354,425.858,1.0,747.761,510.716,1.0,806.601,492.641,1.0,764.11,451.642,1.0,,,0.0,,,0.0,904.023,435.391,1.0,786.857,394.766,0.47999998927116394,845.786,347.294,0.9990000128746033,,,0.0
1269,817.92,425.76,1.0,747.912,510.598,1.0,806.841,492.779,1.0,763.742,451.498,1.0,835.825,508.238,0.996999979019165,834.567,521.7,0.6869999766349792,903.764,435.63,1.0,787.091,394.701,0.4269999861717224,845.848,347.194,0.996999979019165,,,0.0
1270,811.607,426.559,1.0,735.735,507.633,1.0,792.415,493.631,1.0,763.808,449.726,1.0,,,0.0,,,0.0,903.036,439.293,1.0,,,0.0,845.585,354.492,1.0,,,0.0
1271,811.679,426.312,1.0,735.645,508.022,1.0,792.591,494.247,1.0,763.68,449.428,1.0,,,0.0,,,0.0,902.937,438.781,1.0,,,0.0,845.959,354.303,1.0,,,0.0
1272,804.617,435.983,1.0,702.128,504.173,1.0,762.574,498.535,1.0,745.535,449.77,1.0,804.316,508.067,0.9620000123977661,804.688,515.34,0.8500000238418579,898.172,442.782,1.0,899.901,429.161,0.1509999930858612,843.846,357.148,0.9470000267028809,,,0.0
1273,787.606,439.824,1.0,673.812,504.507,1.0,725.605,506.557,1.0,715.621,452.064,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1274,787.253,439.668,1.0,673.765,504.573,1.0,725.838,506.51,1.0,716.293,451.575,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1275,766.301,451.415,1.0,626.161,523.041,1.0,695.002,515.67,1.0,678.749,466.603,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1276,716.83,468.564,1.0,590.649,535.604,1.0,660.472,526.825,1.0,641.882,479.896,1.0,700.785,531.873,0.9940000176429749,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1277,716.871,468.609,1.0,590.809,535.518,1.0,660.733,526.697,1.0,641.619,480.178,1.0,700.393,524.372,0.984000027179718,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1278,687.894,476.583,0.9929999709129333,558.025,537.665,1.0,614.522,539.096,1.0,598.583,486.323,1.0,,,0.0,747.495,532.295,1.0,,,0.0,,,0.0,,,0.0,,,0.0
1279,652.178,493.36,1.0,528.142,537.667,1.0,602.918,545.961,1.0,579.477,487.254,1.0,642.851,555.953,0.8420000076293945,,,0.0,,,0.0,776.406,440.319,0.8379999995231628,764.998,450.201,1.0,,,0.0
1280,646.086,487.885,1.0,528.064,537.728,1.0,596.765,544.736,1.0,573.495,485.71,1.0,,,0.0,,,0.0,,,0.0,,,0.0,765.898,455.75,1.0,,,0.0
1281,645.816,488.398,1.0,528.023,537.745,1.0,596.719,544.675,1.0,573.74,485.714,1.0,,,0.0,,,0.0,,,0.0,,,0.0,765.747,455.854,1.0,,,0.0
1282,654.026,486.539,1.0,532.378,522.423,1.0,583.369,540.144,1.0,570.943,480.214,1.0,,,0.0,,,0.0,,,0.0,,,0.0,762.687,457.481,1.0,,,0.0
1283,653.817,486.752,1.0,532.244,522.614,1.0,583.685,540.493,1.0,570.955,480.057,1.0,,,0.0,,,0.0,,,0.0,,,0.0,763.03,457.582,1.0,,,0.0
1284,620.096,498.769,1.0,517.256,521.726,1.0,569.219,533.836,1.0,559.818,484.1,1.0,619.801,549.294,0.7170000076293945,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1285,595.47,503.26,1.0,494.943,535.766,1.0,541.014,543.454,1.0,534.794,494.303,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1286,596.432,502.63,1.0,495.18,535.725,1.0,541.085,543.176,1.0,535.711,494.128,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1287,580.576,501.461,1.0,470.049,538.219,1.0,520.527,541.461,1.0,505.082,495.921,1.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
1288,557.689,505.541,1.0,463.083,540.118,1.0,506.017,554.569,1.0,484.599,496.355,1.0,,,0.0,,,0.0,,,0.0,,,0.0,672.955,475.415,0.6159999966621399,,,0.0
1289,557.559,505.618,1.0,463.116,540.308,1.0,505.895,555.203,1.0,484.621,496.09,1.0,,,0.0,,,0.0,,,0.0,,,0.0,673.12,475.286,0.722000002861023,,,0.0
1290,552.094,504.057,1.0,451.239,540.84,1.0,504.863,560.17,1.0,484.913,500.755,1.0,,,0.0,,,0.0,631.395,555.015,0.9660000205039978,,,0.0,,,0.0,,,0.0
1291,562.203,501.941,1.0,447.177,543.519,1.0,507.181,557.837,1.0,487.343,497.428,1.0,,,0.0,,,0.0,632.712,553.009,0.8450000286102295,580.418,442.809,0.9549999833106995,665.213,464.957,1.0,,,0.0
1292,566.961,501.428,1.0,446.038,537.107,1.0,506.931,556.12,1.0,492.681,494.417,1.0,,,0.0,,,0.0,632.76,552.916,0.9959999918937683,,,0.0,667.48,466.373,1.0,,,0.0
1293,567.006,501.043,1.0,446.289,537.106,1.0,506.774,556.118,1.0,492.664,494.509,1.0,,,0.0,,,0.0,632.949,553.152,0.9959999918937683,,,0.0,667.731,466.407,1.0,,,0.0
1294,564.671,500.562,1.0,444.256,535.093,1.0,508.317,556.201,1.0,491.203,497.347,1.0,,,0.0,,,0.0,632.592,552.678,0.9850000143051147,580.891,443.144,0.4259999990463257,667.572,466.667,1.0,,,0.0
1295,564.367,500.846,1.0,444.305,535.073,1.0,508.294,556.531,1.0,491.261,496.832,1.0,548.755,563.979,0.9200000166893005,,,0.0,632.717,552.802,0.984000027179718,589.132,442.485,0.2590000033378601,667.376,466.641,1.0,,,0.0
1296,566.454,503.929,1.0,442.583,534.623,1.0,507.631,555.809,1.0,490.606,497.549,1.0,549.243,563.699,0.9369999766349792,,,0.0,633.081,553.412,0.9919999837875366,580.197,443.959,0.2290000021457672,668.27,467.285,1.0,,,0.0
1297,567.232,502.851,1.0,449.611,534.486,1.0,508.498,549.744,1.0,495.518,496.424,1.0,,,0.0,,,0.0,632.72,552.921,0.9369999766349792,,,0.0,668.234,468.854,1.0,,,0.0
1298,567.108,503.04,1.0,449.64,534.612,1.0,508.624,549.551,1.0,495.581,496.367,1.0,,,0.0,,,0.0,632.872,552.851,0.9729999899864197,,,0.0,668.116,469.03,1.0,,,0.0
1299,568.945,492.159,1.0,479.926,568.986,1.0,523.468,554.452,1.0,484.568,506.004,1.0,,,0.0,,,0.0,631.77,552.62,0.9929999709129333,,,0.0,664.588,469.269,1.0,,,0.0
1300,562.036,498.909,1.0,499.048,602.873,1.0,541.966,560.209,1.0,486.678,532.821,1.0,,,0.0,,,0.0,632.168,554.873,0.9959999918937683,,,0.0,665.942,473.077,0.9980000257492065,,,0.0
1301,562.116,498.753,1.0,498.875,602.55,1.0,541.742,559.697,1.0,486.492,532.836,1.0,,,0.0,,,0.0,632.177,554.648,0.9980000257492065,,,0.0,665.301,473.542,0.902999997138977,,,0.0
1302,561.152,508.188,1.0,525.757,650.364,1.0,546.699,587.438,1.0,535.66,579.783,0.8539999723434448,,,0.0,,,0.0,632.0,556.63,0.9990000128746033,,,0.0,655.096,474.629,0.9980000257492065,,,0.0
1303,546.399,537.415,1.0,542.234,694.738,1.0,554.492,627.973,0.9800000190734863,550.283,622.649,0.8640000224113464,,,0.0,,,0.0,633.297,561.854,0.996999979019165,,,0.0,,,0.0,,,0.0
1304,543.22,570.645,1.0,547.622,731.182,1.0,561.862,659.692,1.0,558.38,657.153,0.9959999918937683,588.615,635.974,0.9819999933242798,,,0.0,618.495,569.821,0.7670000195503235,,,0.0,,,0.0,,,0.0
1305,543.394,571.09,1.0,547.509,731.208,1.0,562.107,659.552,1.0,558.386,657.604,0.9959999918937683,588.526,630.043,0.9919999837875366,,,0.0,618.475,569.866,0.5329999923706055,,,0.0,,,0.0,,,0.0
1306,534.211,617.625,1.0,560.545,764.844,1.0,562.88,692.151,0.9990000128746033,556.266,689.429,0.9200000166893005,588.499,667.953,0.9549999833106995,578.943,516.7,0.6819999814033508,,,0.0,598.81,559.732,0.6100000143051147,,,0.0,,,0.0
1307,534.159,618.233,1.0,560.76,764.849,1.0,562.738,692.172,0.9980000257492065,556.134,689.844,0.9580000042915344,588.49,667.94,0.9440000057220459,578.86,516.869,0.6399999856948853,,,0.0,599.071,559.851,0.6019999980926514,,,0.0,,,0.0
1308,525.518,651.729,0.9959999918937683,562.306,793.387,1.0,573.313,724.329,1.0,558.597,720.439,0.8859999775886536,588.125,683.316,0.6159999966621399,,,0.0,,,0.0,590.657,598.285,0.36899998784065247,,,0.0,,,0.0
1309,525.682,684.12,0.9909999966621399,578.917,817.709,1.0,583.539,747.466,1.0,533.124,765.986,0.9990000128746033,,,0.0,,,0.0,,,0.0,,,0.0,541.614,572.797,0.9980000257492065,,,0.0
1310,525.595,684.231,0.9900000095367432,579.26,817.212,1.0,583.459,747.694,1.0,533.164,766.102,0.9990000128746033,,,0.0,,,0.0,,,0.0,,,0.0,541.637,572.819,0.9990000128746033,,,0.0
1311,541.033,713.594,0.9890000224113464,588.542,838.345,1.0,594.062,766.732,1.0,535.938,790.029,1.0,595.983,731.876,0.20499999821186066,,,0.0,596.716,675.541,1.0,545.977,603.933,0.13600000739097595,533.062,602.833,0.9750000238418579,,,0.0
1312,550.018,728.047,1.0,590.679,858.471,1.0,599.526,788.635,1.0,537.065,804.443,1.0,604.615,754.907,0.9750000238418579,,,0.0,601.956,676.236,1.0,,,0.0,524.235,617.853,0.9559999704360962,,,0.0
1313,549.872,728.088,1.0,590.458,858.155,1.0,599.004,788.755,1.0,537.281,804.057,1.0,604.527,755.059,0.9739999771118164,,,0.0,601.969,676.47,1.0,,,0.0,524.255,618.403,0.9380000233650208,,,0.0
1314,550.91,740.509,1.0,578.788,868.658,1.0,599.645,805.788,1.0,538.838,815.394,1.0,610.789,773.916,0.9980000257492065,,,0.0,595.759,691.194,0.8130000233650208,477.646,730.613,1.0,522.319,636.29,1.0,,,0.0
1315,546.781,758.634,1.0,557.829,874.099,0.9039999842643738,587.002,832.17,1.0,531.768,833.349,1.0,604.896,795.428,0.9919999837875366,,,0.0,,,0.0,476.801,745.84,0.9990000128746033,520.598,647.626,1.0,,,0.0
1316,547.241,776.126,1.0,,,0.0,588.157,847.816,1.0,534.514,851.771,1.0,604.228,805.011,1.0,,,0.0,584.132,696.408,0.164000004529953,,,0.0,521.924,663.285,1.0,,,0.0
1317,548.437,777.54,1.0,,,0.0,587.991,847.999,1.0,534.997,851.972,1.0,604.127,804.709,0.9990000128746033,603.002,692.988,0.20900000631809235,584.195,696.487,0.26499998569488525,,,0.0,522.151,663.559,1.0,,,0.0
1318,539.312,771.452,0.9729999899864197,,,0.0,585.286,845.026,1.0,530.611,850.174,1.0,604.244,803.603,0.9959999918937683,,,0.0,595.091,727.729,1.0,,,0.0,525.573,668.726,1.0,,,0.0
1319,539.002,771.046,0.9480000138282776,,,0.0,585.224,845.192,1.0,530.783,850.27,1.0,604.224,803.614,0.9980000257492065,,,0.0,595.264,727.958,0.9990000128746033,,,0.0,525.461,669.171,1.0,,,0.0
1320,541.214,763.987,1.0,587.058,867.404,0.25,581.553,816.75,1.0,521.328,840.535,1.0,604.664,795.788,0.996999979019165,,,0.0,597.448,724.996,0.9990000128746033,,,0.0,533.165,668.675,1.0,,,0.0
1321,532.877,758.175,1.0,611.722,862.396,0.9980000257492065,590.462,797.782,1.0,535.771,838.33,1.0,,,0.0,,,0.0,594.168,725.382,0.9990000128746033,,,0.0,533.838,670.41,1.0,,,0.0
1322,533.379,758.491,1.0,611.689,862.379,0.9980000257492065,590.78,797.958,1.0,535.641,838.526,1.0,,,0.0,,,0.0,593.916,725.303,1.0,,,0.0,533.767,670.171,1.0,,,0.0
1323,539.927,763.644,0.9909999966621399,635.289,852.749,1.0,597.999,786.501,1.0,552.527,833.616,1.0,,,0.0,,,0.0,,,0.0,,,0.0,531.606,676.009,0.9900000095367432,,,0.0
1324,554.163,776.718,1.0,659.448,842.441,0.9819999933242798,612.444,791.881,1.0,580.909,845.565,0.996999979019165,,,0.0,,,0.0,596.196,724.606,0.9980000257492065,,,0.0,523.952,679.92,0.9990000128746033,,,0.0
1325,554.022,776.848,1.0,659.432,842.252,0.9470000267028809,614.498,791.126,1.0,580.916,845.536,0.9980000257492065,,,0.0,,,0.0,596.403,724.933,0.9929999709129333,,,0.0,523.643,679.598,0.9990000128746033,,,0.0
1326,571.847,792.566,0.9750000238418579,700.391,828.875,1.0,640.509,794.542,1.0,618.968,847.875,1.0,,,0.0,,,0.0,,,0.0,,,0.0,521.04,691.686,0.996999979019165,,,0.0
1327,590.481,794.209,1.0,724.923,825.838,1.0,662.027,792.593,1.0,651.189,836.516,1.0,,,0.0,,,0.0,,,0.0,,,0.0,518.237,713.287,0.9879999756813049,,,0.0
1328,590.422,794.218,1.0,724.639,826.199,1.0,661.527,792.626,1.0,651.001,836.923,1.0,,,0.0,,,0.0,,,0.0,,,0.0,517.728,713.085,1.0,,,0.0
1329,603.463,803.919,1.0,746.866,820.777,1.0,683.148,793.381,1.0,677.453,834.659,1.0,,,0.0,,,0.0,,,0.0,,,0.0,519.662,738.692,1.0,,,0.0
1330,625.027,807.105,0.9959999918937683,763.471,813.005,1.0,700.116,788.409,1.0,698.869,830.795,0.9710000157356262,,,0.0,,,0.0,,,0.0,,,0.0,527.051,755.829,1.0,,,0.0
1331,625.007,807.135,0.9959999918937683,763.402,813.183,1.0,700.372,788.699,1.0,699.013,833.994,0.9980000257492065,,,0.0,,,0.0,,,0.0,,,0.0,526.488,755.808,1.0,,,0.0
1332,636.452,807.55,0.9980000257492065,795.066,803.808,1.0,725.041,782.206,1.0,730.227,819.12,1.0,,,0.0,,,0.0,,,0.0,,,0.0,537.507,769.983,1.0,,,0.0
1333,666.778,806.095,0.9990000128746033,812.408,800.803,1.0,740.244,770.851,1.0,746.217,814.995,1.0,,,0.0,,,0.0,,,0.0,,,0.0,564.038,774.776,0.9990000128746033,,,0.0
1334,666.379,806.233,1.0,812.44,800.811,1.0,740.439,770.256,1.0,745.857,814.864,1.0,,,0.0,,,0.0,,,0.0,,,0.0,564.277,774.696,0.9990000128746033,,,0.0
1335,685.214,788.738,1.0,834.202,780.183,1.0,759.601,764.813,1.0,770.536,804.118,1.0,,,0.0,,,0.0,,,0.0,595.667,843.814,0.9829999804496765,566.647,768.857,1.0,,,0.0
1336,714.644,789.957,0.9940000176429749,844.408,757.551,1.0,775.841,756.961,1.0,790.423,801.149,1.0,,,0.0,,,0.0,666.845,745.366,0.9589999914169312,,,0.0,586.918,788.506,1.0,,,0.0
1337,724.754,789.895,1.0,844.658,757.686,1.0,775.905,757.133,1.0,790.115,801.2,1.0,,,0.0,,,0.0,666.819,745.382,0.9229999780654907,,,0.0,586.978,788.294,1.0,,,0.0
1338,723.632,790.266,0.9509999752044678,839.501,737.195,1.0,777.663,753.426,1.0,801.553,799.326,1.0,,,0.0,,,0.0,,,0.0,,,0.0,587.81,803.631,1.0,,,0.0
1339,714.771,790.783,0.5419999957084656,835.445,727.305,1.0,771.784,750.779,1.0,796.907,789.926,0.9990000128746033,,,0.0,,,0.0,662.073,745.203,0.9990000128746033,,,0.0,589.134,808.057,1.0,,,0.0
1340,715.476,789.976,0.9980000257492065,830.547,722.101,1.0,757.036,749.613,1.0,788.346,796.891,1.0,,,0.0,,,0.0,659.918,745.696,1.0,,,0.0,590.673,808.729,1.0,,,0.0
1341,715.233,789.976,0.9990000128746033,830.407,722.33,1.0,757.257,749.508,1.0,793.995,798.295,1.0,,,0.0,,,0.0,660.24,745.683,1.0,,,0.0,590.672,808.67,1.0,,,0.0
1342,715.233,787.746,1.0,832.211,723.367,1.0,756.399,749.435,1.0,788.476,795.858,1.0,,,0.0,,,0.0,657.023,745.705,1.0,,,0.0,592.144,809.555,1.0,,,0.0
1343,715.455,787.409,1.0,832.124,723.175,1.0,756.344,749.153,1.0,788.603,796.094,1.0,,,0.0,,,0.0,657.514,745.675,1.0,,,0.0,592.152,809.025,1.0,,,0.0
